E;AL1;SON;;CBSK098189;20240730;2428639979;AL1;20240716;ADR
L;TPFDAH0120;;CAR;50;;;;;
L;;;CAR;100;;;;;
L;TPFFYZ0138;;CAR;100;;;;;
L;BSLBIS1453;;CAR;600;;;;;
L;BSLBIS1229;;CAR;280;;;;;
L;;;CAR;216;;;;;
L;BSLBIS1234;;CAR;133;;;;;
L;;;CAR;312;;;;;
L;;;CAR;360;;;;;
L;;;CAR;360;;;;;
L;;;CAR;312;;;;;
L;;;CAR;432;;;;;
L;;;CAR;72;;;;;
L;;;CAR;72;;;;;
L;BSLGAF1371;;CAR;216;;;;;
L;;;CAR;28;;;;;
L;;;CAR;28;;;;;
L;;;CAR;28;;;;;
L;BSLGAF1375;;CAR;216;;;;;
L;BSLBIS1455;;CAR;300;;;;;
L;;;CAR;56;;;;;
L;;;CAR;56;;;;;
L;;;CAR;56;;;;;
L;;;CAR;72;;;;;
