Article,Libelle article,VL,No ligne,Type U.C.,"Quant en
UC",UVC/UC,"Quant en
UVC","No. operation
speciale"
TPFDAH0120,THE DAHMISS 200GR,0,668759040043,PCB,50.0,50,2500.0,
6111262582204,"THE VERT FAYZ CHAARA 180
GRS",0,668759040010,PCB,100.0,50,5000.0,
TPFFYZ0138,"THE VERT FAYZ
GUNPOWDER 200 GRS",0,668759040039,PCB,100.0,50,5000.0,
BSLBIS1453,"BISCUIT RONDINO CACAO
42G",0,668759040031,PCB,600.0,24,14400.0,
BSLBIS1229,"GALETTE D'OR ORIGINALE
48G",0,668759040016,PCB,280.0,30,8400.0,
6111269300092,"BUSCUIT P'TIT GOÃ#TER
ORIGINAL 48G",0,668759040012,PCB,216.0,24,5184.0,
BSLBIS1234,"BISCUIT FOUREEDORO
FRAISE 32G",0,668759040011,PCB,133.0,60,7980.0,
6111269300238,"GAUFRETTES RISE UP
CRISPY 38G CACAO",0,668759040013,PCB,312.0,30,9360.0,
6111269300313,"GAUFRETTESRISE UP
CACAO 34G",0,668759040019,PCB,360.0,30,10800.0,
6111269300320,"GAUFRETTESRISE UP MILKY
34G",0,668759040014,PCB,360.0,30,10800.0,
6111269300948,"GAUFRETTES RISE UP MAX
CHOC 35G",0,668759040024,PCB,312.0,30,9360.0,
6111269301174,"GAUFRETTES P'TIT
GOÃ#TER INTENSE.52G",0,668759040033,PCB,432.0,24,10368.0,
6111269301334,"PACK RONDINO MILKY 42G X
5",0,668759040034,PCB,72.0,24,1728.0,
6111269301341,"PACK RONDINO CACAO 42G
X 5",0,668759040005,PCB,72.0,24,1728.0,
BSLGAF1371,"GAUFRETTESDONTY COVER
CACAO 20G",0,668759040018,PCB,216.0,60,12960.0,
6111269301426,"PACK DORO CACAO 32G X
10",0,668759040020,PCB,28.0,24,672.0,
6111269301433,"PACK DORO FRAISE 32G X
10",0,668759040045,PCB,28.0,24,672.0,
6111269301440,"PACK DORO VANILLE 32G X
10",0,668759040025,PCB,28.0,24,672.0,
BSLGAF1375,"GAUFRETTES DONTY
COVER BLACK 20G",0,668759040023,PCB,216.0,60,12960.0,
BSLBIS1455,"BISCUIT RONDINO WHITE
42G",0,668759040032,PCB,300.0,24,7200.0,
6111269301709,"PACK DONTY COVER MILKY
20G X 10",0,668759040046,PCB,56.0,24,1344.0,
6111269301716,"PACK DONTY COVER CACAO
20G X 10",0,668759040047,PCB,56.0,24,1344.0,
